property_type,sector,price,price_per_sqft,area,bedRoom,bathroom,balcony,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,floor_category,luxury_category,area_room_ratio
flat,sector 65,2.3,13939.0,1650.0,3,4,3,South-West,Relatively New,,,1650.0,1,1,1,1,0,unfurnished,Mid Floor,High,550.0
flat,sector 65,2.33,18477.0,1261.0,2,2,3,North-East,Under Construction,1261.0,,,0,0,0,0,0,furnished,High Floor,Low,630.5
flat,sector 109,1.75,8140.0,2150.0,3,4,3+,North-East,Relatively New,2150.0,,,0,1,0,0,0,semifurnished,Mid Floor,Medium,716.6666666666666
flat,sector 102,1.39,8424.0,1650.0,3,3,3,West,Relatively New,1650.0,,,0,1,0,0,0,furnished,Mid Floor,Low,550.0
flat,gwal pahari,0.38,6090.0,624.0,1,1,1,,Moderately Old,624.0,,,0,0,0,0,0,semifurnished,High Floor,Low,624.0
flat,sohna road,0.78,6446.0,1210.0,3,3,3,South-West,Relatively New,,,1210.0,0,0,0,1,0,semifurnished,Mid Floor,High,403.3333333333333
flat,sector 63,2.2,12813.0,1717.0,3,4,3+,North-West,Moderately Old,1717.0,,,1,0,0,0,0,furnished,Mid Floor,Medium,572.3333333333334
flat,sector 33,1.67,10503.0,1590.0,3,2,2,,Under Construction,,,1671.0,0,0,0,0,0,semifurnished,High Floor,Medium,530.0
house,sector 28,12.0,42194.0,2844.0,4,5,3+,East,Relatively New,,2844.0,,0,1,1,1,0,furnished,Mid Floor,Medium,711.0
flat,sector 36a,0.45,9000.0,500.0,1,1,1,,Relatively New,500.0,,,0,0,0,0,0,semifurnished,Mid Floor,Low,500.0
flat,sector 50,2.35,11358.0,2069.0,3,3,3,North-West,Moderately Old,2069.0,1900.0,1800.0,0,0,0,0,0,furnished,Mid Floor,Low,689.6666666666666
flat,sector 48,2.0,7764.0,2576.0,3,3,0,,Relatively New,2125.0,,,0,1,0,0,0,semifurnished,High Floor,Medium,858.6666666666666
flat,gwal pahari,1.5,8278.0,1812.0,4,4,3+,North,Old Property,,,1812.0,1,1,0,0,1,semifurnished,Mid Floor,Medium,453.0
flat,sector 113,1.9,18500.0,1027.0,3,2,2,North-East,Relatively New,1579.0,,1027.0,0,0,0,1,0,furnished,Mid Floor,High,342.3333333333333
flat,sector 107,0.49,8221.0,596.0,2,2,1,South-West,Relatively New,602.0,598.0,,0,0,0,0,1,unfurnished,Mid Floor,Low,298.0
flat,gwal pahari,1.45,10140.0,1430.0,3,3,3,,Under Construction,,1430.0,760.0,0,0,0,0,0,semifurnished,Mid Floor,Low,476.6666666666667
flat,sector 69,1.43,8888.0,1609.0,3,3,2,South-West,Relatively New,1608.0,,1039.0,0,0,0,1,0,semifurnished,Low Floor,Medium,536.3333333333334
flat,sector 79,1.4,9396.0,1490.0,3,3,3,North,New Property,,,1490.0,0,0,0,0,0,furnished,Low Floor,Medium,496.6666666666667
flat,gwal pahari,5.25,9052.0,5800.0,4,5,3+,North-East,New Property,5800.0,,,1,1,0,1,0,semifurnished,Low Floor,Low,1450.0
flat,sector 69,1.9,9453.0,2010.0,4,4,2,South-West,Relatively New,2010.0,,,0,0,0,0,0,semifurnished,Low Floor,Low,502.5
flat,sector 104,1.75,7642.0,2290.0,3,4,3+,North-West,Relatively New,2290.0,,1800.0,1,1,0,1,1,furnished,High Floor,Low,763.3333333333334
house,sector 33,1.15,9350.0,1230.0,2,2,3,North,Relatively New,,1400.0,1230.0,1,0,0,0,0,furnished,Low Floor,Medium,615.0
flat,sector 37,0.67,5583.0,1200.0,2,2,2,,Relatively New,1200.0,,,0,0,0,0,0,semifurnished,Mid Floor,Low,600.0
flat,sector 95,0.2,5602.0,357.0,1,1,1,South-West,Relatively New,,,366.080239,0,0,0,1,0,semifurnished,Low Floor,Medium,357.0
flat,sector 69,1.68,10072.0,1668.0,3,3,2,West,Relatively New,1668.0,,,0,0,0,0,0,semifurnished,Low Floor,High,556.0
house,sector 25,6.3,35000.0,1800.0,4,4,3+,East,Old Property,,1800.0,,0,1,1,0,0,semifurnished,Low Floor,Medium,450.0
flat,sector 69,0.9,6000.0,1500.0,3,2,3+,West,Relatively New,1500.0,1326.0,1050.0,0,0,0,0,0,furnished,Low Floor,Medium,500.0
flat,sohna road,0.26,5394.0,482.0,2,2,1,,Relatively New,,,481.792164,0,0,0,0,0,semifurnished,Low Floor,Low,241.0
flat,sector 67a,1.6,9265.0,1727.0,3,3,2,North,New Property,1727.0,,1017.0,0,0,1,0,0,furnished,Mid Floor,Medium,575.6666666666666
flat,sector 111,2.35,14551.0,1615.0,3,3,3+,,Under Construction,,1615.0,,0,0,0,0,0,semifurnished,Mid Floor,Low,538.3333333333334
flat,sector 109,1.45,6744.0,2150.0,3,4,3+,North-West,Relatively New,2150.0,1797.0,1660.0,0,1,0,0,0,semifurnished,Mid Floor,Medium,716.6666666666666
house,sector 4,2.35,16319.0,1440.0,4,4,2,East,Old Property,,1440.0,,0,0,0,1,0,semifurnished,Low Floor,Low,360.0
flat,sector 89,1.2,8433.0,1423.0,3,3,2,East,New Property,,1423.0,,1,0,0,0,1,semifurnished,Mid Floor,Low,474.3333333333333
house,sector 45,16.0,35003.0,4571.0,6,7,3+,East,Relatively New,,4500.0,,1,1,1,1,0,furnished,Mid Floor,Medium,761.8333333333334
flat,sector 99a,0.3,6667.0,450.0,2,1,0,North,Undefined,,,450.0,0,0,0,0,0,semifurnished,High Floor,Low,225.0
flat,sector 83,1.3,4545.0,2860.0,3,3,1,North-West,Relatively New,2860.0,,,0,0,0,0,0,semifurnished,Mid Floor,Medium,953.3333333333334
flat,sector 99,0.4,4444.0,900.0,2,2,2,,New Property,900.0,,587.0,0,0,0,0,0,semifurnished,Mid Floor,Medium,450.0
flat,sector 112,0.7,4673.0,1498.0,2,2,2,East,Relatively New,,1498.0,,0,0,0,0,0,semifurnished,Mid Floor,Medium,749.0
house,sector 3,0.55,7333.0,750.0,1,1,0,,Undefined,,750.0,,0,0,0,0,0,semifurnished,Low Floor,Low,750.0
house,sector 7,2.0,13889.0,1440.0,2,2,2,North-West,Old Property,,1440.0,,0,0,0,0,0,semifurnished,Low Floor,Low,720.0
flat,sector 2,0.2,4000.0,500.0,1,1,1,,Moderately Old,,,500.0,0,0,0,0,1,semifurnished,Low Floor,Low,500.0
house,sector 109,6.0,9634.0,6228.0,4,5,3,North-East,Moderately Old,,6228.0,,0,0,0,0,0,semifurnished,Low Floor,Medium,1557.0
flat,sector 85,0.88,5954.0,1478.0,3,3,1,South,Relatively New,1485.0,,,0,0,0,0,0,semifurnished,Low Floor,Medium,492.6666666666667
flat,sector 102,1.4,13685.0,1023.0,3,3,3,East,Relatively New,1650.0,,1022.58,0,1,0,0,0,semifurnished,Mid Floor,Medium,341.0
flat,sector 108,3.35,13267.0,2525.0,3,4,2,,New Property,2072.9,,,0,0,0,0,0,semifurnished,High Floor,Medium,841.6666666666666
flat,sector 102,1.76,10227.0,1721.0,3,3,3,North-East,Relatively New,1692.0,,,0,0,0,0,0,semifurnished,Low Floor,Medium,573.6666666666666
flat,sector 99a,0.85,6789.0,1252.0,2,2,2,West,New Property,1252.0,,,0,0,0,0,0,semifurnished,Mid Floor,Low,626.0
flat,sector 4,0.42,5600.0,750.0,2,2,1,,Relatively New,,,750.0,0,0,0,0,0,furnished,Mid Floor,Low,375.0
house,sector 7,1.55,13889.0,1116.0,2,2,2,East,Moderately Old,,1080.0,,0,0,0,0,0,furnished,Low Floor,Medium,558.0
flat,sector 86,0.78,5735.0,1360.0,2,2,1,East,New Property,1360.0,,,0,0,0,0,0,semifurnished,Mid Floor,Medium,680.0
flat,sector 33,1.1,8627.0,1275.0,2,2,2,North-East,Undefined,,1275.0,795.0,0,0,0,0,0,semifurnished,Mid Floor,Low,637.5
flat,sector 69,1.42,8999.0,1578.0,3,3,2,East,Relatively New,1578.0,,,0,0,0,1,0,furnished,Mid Floor,Medium,526.0
flat,sector 108,0.7,4651.0,1505.0,2,2,2,South,Moderately Old,1505.0,,,0,0,0,0,0,semifurnished,High Floor,Medium,752.5
flat,sector 38,2.1,11939.0,1759.0,4,4,3+,North,Old Property,,,1759.0,0,0,0,0,0,unfurnished,Mid Floor,Low,439.75
house,sector 50,7.5,34722.0,2160.0,3,3,2,West,Moderately Old,,241.0,240.0,0,1,0,0,0,furnished,Low Floor,Medium,720.0
flat,sector 92,0.95,4750.0,2000.0,4,3,2,East,New Property,2000.0,1983.0,1900.0,0,0,0,0,0,semifurnished,High Floor,Low,500.0
flat,sector 33,3.25,7509.0,4328.0,4,4,3+,South-East,Old Property,,,4328.0,0,1,0,0,0,furnished,High Floor,Medium,1082.0
flat,sector 56,1.7,7727.0,2200.0,3,3,3,South,Moderately Old,,2200.0,1610.0,1,0,0,0,0,semifurnished,Mid Floor,Low,733.3333333333334
flat,sector 88a,1.19,10162.0,1171.0,2,2,3,South-East,Relatively New,1628.0,,1171.0,1,0,0,1,0,furnished,High Floor,High,585.5
house,sector 23,1.2,6231.0,1926.0,3,2,2,,New Property,,1500.0,,0,0,0,0,0,furnished,Mid Floor,Medium,642.0
flat,sector 102,1.4,10378.0,1349.0,2,2,2,North-East,New Property,1349.0,,1000.0,0,0,0,0,0,furnished,High Floor,Low,674.5
flat,sector 48,1.76,9910.0,1776.0,3,3,3+,South,Moderately Old,1776.0,1576.0,1476.0,0,1,0,1,0,furnished,Mid Floor,High,592.0
flat,sector 86,1.45,9797.0,1480.0,3,2,3,North-East,Relatively New,,1480.0,1050.0,0,0,0,0,0,unfurnished,Mid Floor,Medium,493.3333333333333
flat,sector 69,1.4,8855.0,1581.0,3,3,2,West,Relatively New,1578.0,,,0,0,0,1,0,semifurnished,Mid Floor,Medium,527.0
flat,sector 62,7.15,16486.0,4337.0,4,5,3+,East,Relatively New,4337.0,,,1,1,1,0,0,furnished,Mid Floor,High,1084.25
flat,sector 67,2.72,11574.0,2350.0,4,4,3+,South-West,Relatively New,2350.0,2250.0,2001.0,0,1,0,1,0,furnished,Low Floor,Medium,587.5
flat,sector 93,0.4,7353.0,544.0,2,2,2,,New Property,,,543.57695,0,0,0,0,0,semifurnished,High Floor,Low,272.0
flat,sector 70a,1.1,7586.0,1450.0,2,2,3+,,New Property,1450.0,,,0,0,0,0,0,semifurnished,Mid Floor,Medium,725.0
flat,sector 70a,1.34,10276.0,1304.0,2,2,3+,East,New Property,1304.0,,,0,0,0,0,0,furnished,High Floor,Medium,652.0
flat,sohna road,0.95,6177.0,1538.0,2,2,3+,South,Under Construction,1457.0,1050.0,849.0,1,0,0,0,1,semifurnished,Mid Floor,Medium,769.0
house,sector 48,19.5,22222.0,8775.0,5,6,3,North,Moderately Old,,8775.0,,1,1,1,1,0,furnished,Low Floor,Medium,1755.0
flat,sector 112,5.6,11530.0,4857.0,4,6,3+,North-East,Moderately Old,4857.0,3662.34,,0,1,0,0,0,furnished,High Floor,High,1214.25
flat,sector 91,0.96,5411.0,1774.0,2,2,3+,East,Moderately Old,1404.0,,,0,0,0,0,0,semifurnished,Mid Floor,Medium,887.0
flat,sector 81,2.34,11185.0,2092.0,3,4,3+,South-East,Relatively New,2092.0,1760.0,1670.0,0,1,0,0,0,unfurnished,High Floor,High,697.3333333333334
flat,sector 43,3.25,10156.0,3200.0,4,4,3+,,Moderately Old,3200.0,,3000.0,0,0,0,1,0,furnished,High Floor,Medium,800.0
flat,sector 77,1.25,8621.0,1450.0,3,4,3,North,Relatively New,1450.0,,1177.0,1,1,0,0,0,semifurnished,Mid Floor,Low,483.3333333333333
flat,sector 61,1.47,12250.0,1200.0,2,2,2,,Under Construction,,,1200.0,1,0,0,0,0,semifurnished,Low Floor,Medium,600.0
house,sector 36,0.75,6938.0,1081.0,3,1,0,,Undefined,,1081.0,,0,0,0,0,0,semifurnished,Low Floor,Low,360.3333333333333
house,sector 28,10.5,32407.0,3240.0,5,6,3+,,New Property,,3240.0,,1,1,0,1,0,furnished,Mid Floor,High,648.0
flat,sector 2,0.98,6262.0,1565.0,2,2,3,South-West,Moderately Old,1565.0,,,1,0,0,0,0,semifurnished,High Floor,Medium,782.5
flat,sector 69,1.66,10134.0,1638.0,3,3,2,South-West,Relatively New,1638.0,,,0,0,0,0,0,semifurnished,Low Floor,High,546.0
flat,sector 56,0.52,10656.0,488.0,1,1,1,,Old Property,525.0,,,0,0,0,0,0,semifurnished,Low Floor,Low,488.0
flat,sohna road,0.66,5181.0,1274.0,2,2,3,North-West,Relatively New,1264.0,,730.0,0,0,0,1,0,semifurnished,High Floor,Low,637.0
house,sector 12,0.7,4118.0,1700.0,4,4,1,,Moderately Old,,1700.0,,0,0,0,0,0,semifurnished,Low Floor,Low,425.0
house,sector 2,9.0,19231.0,4680.0,5,5,2,North,Old Property,,4680.0,,1,1,1,1,0,unfurnished,Low Floor,Medium,936.0
flat,sector 85,1.2,10453.0,1148.0,2,2,3+,West,Relatively New,1640.0,,1148.0,0,0,1,0,0,semifurnished,Low Floor,High,574.0
flat,sector 36a,0.36,9000.0,400.0,1,1,1,West,Relatively New,406.0,,402.0,0,0,0,0,0,semifurnished,Mid Floor,Medium,400.0
house,sector 5,3.5,15556.0,2250.0,6,5,2,North-East,Old Property,,2250.0,,1,1,0,1,1,unfurnished,Mid Floor,High,375.0
flat,sector 67,2.35,12145.0,1935.0,3,4,3+,South-West,Moderately Old,1935.0,,,0,1,0,0,0,furnished,High Floor,High,645.0
flat,sector 70a,1.51,7642.0,1976.0,3,3,3,South-East,Relatively New,1976.0,,,0,1,0,0,0,semifurnished,Mid Floor,Low,658.6666666666666
flat,sector 83,0.85,8947.0,950.0,2,2,2,West,Moderately Old,1245.0,1100.0,950.0,0,0,0,1,0,furnished,High Floor,Medium,475.0
flat,sector 85,1.05,10606.0,990.0,2,2,1,East,Under Construction,,97.0,92.0,0,0,0,0,0,semifurnished,High Floor,Low,495.0
flat,sector 72,1.9,9620.0,1975.0,3,3,3,,Moderately Old,1975.0,,,0,1,0,0,0,furnished,Mid Floor,Low,658.3333333333334
house,sector 25,6.25,34722.0,1800.0,5,5,3,East,Moderately Old,,1800.0,,0,1,0,1,0,furnished,Low Floor,Medium,360.0
flat,sector 89,1.32,16923.0,780.0,3,3,3,,Under Construction,,,780.0,0,0,0,0,0,semifurnished,Low Floor,Low,260.0
flat,sector 106,0.88,6354.0,1385.0,2,2,3+,South,Relatively New,1385.0,940.0,845.0,0,0,0,0,0,semifurnished,Low Floor,Low,692.5
flat,sector 37d,1.5,9868.0,1520.0,3,2,3+,North-East,Relatively New,1520.0,,,0,0,0,0,0,semifurnished,High Floor,Low,506.6666666666667
flat,sector 109,1.75,10029.0,1745.0,3,3,3,North-East,Relatively New,1745.0,1550.0,1250.0,0,0,0,1,0,furnished,Mid Floor,Low,581.6666666666666
flat,sector 37c,0.9,6272.0,1435.0,3,3,3,East,Undefined,,1435.0,1100.0,0,0,0,0,0,semifurnished,Mid Floor,Medium,478.3333333333333
flat,sector 67,3.0,14656.0,2047.0,3,3,3+,North-East,Relatively New,2047.0,1900.0,1800.0,0,0,1,0,0,furnished,Mid Floor,High,682.3333333333334
flat,sohna road,0.28,4308.0,650.0,2,2,2,,New Property,650.0,,,0,0,0,0,0,semifurnished,High Floor,Low,325.0
flat,sohna road,0.56,6813.0,822.0,2,2,3,South,New Property,,,822.0,0,0,0,0,0,semifurnished,Mid Floor,Medium,411.0
house,sector 12,3.71,19818.0,1872.0,3,3,1,,Moderately Old,,1872.0,,0,0,0,1,0,semifurnished,Mid Floor,Low,624.0
flat,sector 113,2.85,12855.0,2217.0,3,3,3+,East,New Property,2217.0,,,0,1,0,0,0,semifurnished,Mid Floor,Medium,739.0
flat,sector 37c,1.25,8929.0,1400.0,3,3,3,South-East,Relatively New,1735.0,,1400.0,1,0,0,0,0,semifurnished,Low Floor,Low,466.6666666666667
flat,sector 104,2.0,8734.0,2290.0,3,4,3+,,Relatively New,2290.0,,,0,1,0,0,0,semifurnished,Mid Floor,Medium,763.3333333333334
flat,sector 107,0.35,6494.0,539.0,2,2,2,North-West,Relatively New,,,547.0,0,0,0,0,0,semifurnished,Mid Floor,Low,269.5
flat,sector 109,2.15,10263.0,2095.0,3,4,3,North,Relatively New,2095.0,,,0,1,0,0,0,semifurnished,Mid Floor,Medium,698.3333333333334
flat,sector 77,1.64,8410.0,1950.0,4,3,3,South,Relatively New,1950.0,,,0,1,0,0,0,semifurnished,Mid Floor,Medium,487.5
house,sector 4,0.85,7522.0,1130.0,3,3,0,,Undefined,,1130.0,,0,0,0,0,0,semifurnished,Low Floor,Low,376.6666666666667
flat,sector 47,2.4,10000.0,2400.0,3,3,0,West,Moderately Old,,,2400.0,0,0,0,0,0,furnished,Low Floor,Low,800.0
house,sector 13,4.5,9091.0,4950.0,4,5,2,East,Old Property,,4950.0,,0,0,0,0,0,semifurnished,Low Floor,Low,1237.5
flat,sector 95,0.43,3152.0,1364.0,2,2,2,North,Relatively New,1364.0,1300.0,1020.0,0,0,0,0,0,semifurnished,Mid Floor,Medium,682.0
flat,sector 102,1.38,13490.0,1023.0,3,3,3,North-East,Relatively New,1650.0,,1022.58,0,1,0,0,0,furnished,Mid Floor,Medium,341.0
house,sector 25,15.5,34307.0,4518.0,5,6,3+,East,Moderately Old,,4518.0,,1,1,1,1,0,semifurnished,Mid Floor,Medium,903.6
flat,sector 71,1.35,5745.0,2350.0,4,4,3,North-West,Moderately Old,2350.0,,,0,1,0,0,0,semifurnished,Mid Floor,Low,587.5
flat,sector 65,3.0,15190.0,1975.0,4,4,3+,South-East,Relatively New,1975.0,,,0,1,0,0,0,semifurnished,Low Floor,Medium,493.75
flat,sohna road,0.32,5776.0,554.0,2,2,2,North,Relatively New,,,554.0,0,0,0,0,0,furnished,High Floor,Low,277.0
flat,sector 107,0.75,5490.0,1366.0,2,2,3+,West,Relatively New,1366.0,,1050.0,0,0,0,1,0,semifurnished,High Floor,High,683.0
flat,sector 107,0.36,6569.0,548.0,2,2,1,South,Relatively New,548.0,,,0,0,0,0,0,semifurnished,Mid Floor,Low,274.0
flat,sector 89,1.0,9066.0,1103.0,2,2,2,,New Property,,,1103.0,1,0,0,0,0,semifurnished,Low Floor,Low,551.5
flat,sohna road,0.35,5319.0,658.0,2,2,2,,New Property,,658.0,554.17,0,0,0,0,0,semifurnished,High Floor,Low,329.0
flat,sector 48,4.3,13871.0,3100.0,4,5,3+,East,New Property,,,3100.0,1,1,0,1,0,semifurnished,Mid Floor,Medium,775.0
flat,sector 67a,1.7,9844.0,1727.0,3,3,2,North-East,New Property,1727.0,,1017.0,0,1,0,0,1,furnished,Mid Floor,Low,575.6666666666666
flat,sector 69,1.36,8843.0,1538.0,3,3,1,North-West,Relatively New,1538.0,,,0,0,0,1,0,semifurnished,High Floor,Medium,512.6666666666666
house,sector 56,3.4,22222.0,1530.0,6,6,3+,West,Moderately Old,,1530.0,,0,0,0,0,0,furnished,Low Floor,Low,255.0
house,sector 67,3.0,11905.0,2520.0,4,4,0,North-East,Undefined,,,2520.0,0,0,0,0,0,semifurnished,Mid Floor,Low,630.0
house,sector 43,14.0,39886.0,3510.0,9,9,3+,North,Moderately Old,,3510.0,,0,1,0,0,0,semifurnished,Mid Floor,Low,390.0
flat,sector 108,3.95,16859.0,2343.0,3,5,2,North,New Property,2343.0,,1512.05,0,1,0,0,0,semifurnished,High Floor,Medium,781.0
house,sector 54,5.7,23457.0,2430.0,4,4,0,,Undefined,,270.0,,0,0,0,0,0,semifurnished,Low Floor,Low,607.5
flat,sector 90,1.65,5684.0,2903.0,4,4,3+,South,Moderately Old,2727.0,,,0,0,0,0,0,semifurnished,Mid Floor,Medium,725.75
flat,sector 2,0.95,7308.0,1300.0,2,3,2,North-East,Old Property,,,1300.0,1,0,0,0,0,furnished,Low Floor,Low,650.0
flat,sector 90,1.25,6477.0,1930.0,3,3,3+,West,Relatively New,1930.0,1929.0,1928.0,0,1,0,1,0,semifurnished,Mid Floor,Medium,643.3333333333334
flat,sector 110,3.79,9896.0,3830.0,5,5,3,South-West,Relatively New,3830.0,,,0,1,0,0,1,semifurnished,Mid Floor,Medium,766.0
house,sector 110,0.34,12593.0,270.0,2,2,2,West,Moderately Old,,270.0,,0,0,0,0,0,semifurnished,Mid Floor,Low,135.0
flat,sector 102,1.75,9449.0,1852.0,3,3,3,West,Relatively New,1852.0,,1128.0,1,1,0,1,1,semifurnished,Mid Floor,Low,617.3333333333334
house,sector 70a,0.9,7582.0,1187.0,2,2,3+,North-East,New Property,,,1187.0,0,1,0,0,1,semifurnished,Mid Floor,High,593.5
flat,sector 61,1.58,13739.0,1150.0,2,2,2,South,New Property,,,1150.0,1,0,0,0,0,semifurnished,Mid Floor,Low,575.0
flat,sector 92,0.5,7812.0,640.0,3,3,1,,Relatively New,640.0,,,0,0,0,0,0,semifurnished,Low Floor,Low,213.33333333333334
house,sector 48,5.5,23504.0,2340.0,4,4,2,North,Relatively New,,2340.0,,0,1,0,0,0,furnished,Low Floor,Low,585.0
flat,sector 111,0.36,8889.0,405.0,1,1,1,,Relatively New,,,405.0,0,0,0,0,0,semifurnished,Mid Floor,Low,405.0
flat,sector 69,2.0,9583.0,2087.0,4,4,2,South-East,Relatively New,2087.0,,,0,0,0,0,0,semifurnished,Low Floor,High,521.75
house,sector 67,8.0,22222.0,3600.0,6,7,3+,North-East,Moderately Old,,3600.0,,1,1,1,1,0,furnished,Mid Floor,High,600.0
flat,sector 47,2.45,10699.0,2290.0,3,4,2,,Old Property,,,2290.0,1,0,0,0,0,furnished,Low Floor,Low,763.3333333333334
flat,sector 69,2.05,9951.0,2060.0,4,4,2,North-West,Relatively New,2087.0,,,0,0,0,0,0,semifurnished,Low Floor,High,515.0
flat,sector 104,4.45,6846.0,6500.0,4,5,3+,North,Relatively New,,,6500.0,0,0,0,0,0,semifurnished,High Floor,Medium,1625.0
flat,sector 102,1.42,10380.0,1368.0,2,2,3,,Undefined,,1368.0,,0,0,0,0,0,semifurnished,High Floor,Low,684.0
flat,sector 113,2.4,10825.0,2217.0,3,4,3+,North-East,Relatively New,2217.0,1940.0,1730.0,0,1,0,0,0,semifurnished,Mid Floor,Low,739.0
house,sector 26,17.0,37627.0,4518.0,5,5,3+,North-East,Relatively New,,4518.0,,1,1,1,1,0,furnished,Low Floor,Medium,903.6
flat,sector 108,2.5,14611.0,1711.0,3,3,2,East,New Property,1711.0,1480.0,1111.44,0,0,0,0,0,semifurnished,High Floor,High,570.3333333333334
flat,sector 52,1.5,9146.0,1640.0,4,4,3,,Old Property,1640.0,,,0,0,0,0,0,semifurnished,Mid Floor,Medium,410.0
flat,sector 78,1.15,5285.0,2176.0,3,3,3,,Moderately Old,2176.0,,,0,1,0,0,1,semifurnished,Mid Floor,Low,725.3333333333334
flat,sector 107,0.28,5833.0,480.0,2,2,2,North-East,Relatively New,,,489.0,0,0,0,0,0,semifurnished,Low Floor,Low,240.0
flat,sector 36,0.85,11333.0,750.0,3,2,3,,New Property,,,750.0,0,0,0,0,0,semifurnished,Low Floor,Low,250.0
flat,sector 81,3.45,12357.0,2792.0,4,4,3+,East,Moderately Old,2792.0,,,0,1,0,0,0,semifurnished,High Floor,Medium,698.0
flat,sector 72,4.25,13077.0,3250.0,4,4,3+,North,Relatively New,3250.0,,,0,1,0,0,0,furnished,Low Floor,High,812.5
flat,sector 89,1.2,8433.0,1423.0,3,3,2,East,Undefined,,1423.0,920.0,0,0,0,0,0,semifurnished,Low Floor,Low,474.3333333333333
flat,sector 103,0.5,6250.0,800.0,2,2,2,,Relatively New,800.0,,605.0,0,0,0,0,0,semifurnished,Mid Floor,Low,400.0
flat,sector 88a,1.45,8367.0,1733.0,2,2,3+,,Relatively New,161.0,,108.4,1,0,0,0,0,unfurnished,Mid Floor,Medium,866.5
flat,sector 66,2.8,14359.0,1950.0,3,3,2,East,New Property,1950.0,1920.0,1600.0,1,1,0,1,0,unfurnished,High Floor,Medium,650.0
house,sector 23,2.8,17983.0,1557.0,5,5,3+,North-East,Old Property,,160.0,150.0,0,0,0,1,0,furnished,Low Floor,Medium,311.4
house,sector 109,6.75,10838.0,6228.0,4,4,3+,North-East,New Property,,6228.0,,0,1,0,1,0,semifurnished,Low Floor,Medium,1557.0
house,sector 7,1.15,8519.0,1350.0,5,3,2,North-East,Old Property,,1350.0,,0,0,0,1,0,semifurnished,Low Floor,Low,270.0
flat,sector 95,0.45,8755.0,514.0,2,2,2,,New Property,,,514.0,0,0,0,0,0,semifurnished,High Floor,Low,257.0
flat,sector 91,1.75,7403.0,2364.0,4,4,3+,South,Relatively New,2364.0,,,0,1,0,1,0,semifurnished,Mid Floor,Medium,591.0
flat,sector 83,1.1,6162.0,1785.0,3,3,3+,North-West,Relatively New,1785.0,1600.0,1500.0,0,0,0,0,0,furnished,Mid Floor,Medium,595.0
flat,sector 68,1.7,8504.0,1999.0,4,4,3,,New Property,1999.0,,,0,0,0,0,0,semifurnished,Low Floor,Low,499.75
flat,sector 108,0.7,4522.0,1548.0,2,2,3,,Moderately Old,,,1548.0,0,0,0,0,0,furnished,Low Floor,Low,774.0
flat,sector 2,1.51,7869.0,1919.0,3,4,3+,South-West,Moderately Old,1920.0,,,0,1,0,0,0,furnished,Mid Floor,Medium,639.6666666666666
flat,sector 86,0.44,7321.0,601.0,2,2,2,East,Relatively New,,,601.0,0,0,0,0,0,furnished,Mid Floor,Medium,300.5
flat,sector 102,2.35,8468.0,2775.0,3,3,3,East,Relatively New,2598.0,,,1,1,0,0,0,furnished,High Floor,High,925.0
flat,sector 104,1.75,7530.0,2324.0,4,5,3+,,New Property,,,2324.0,0,1,0,0,0,semifurnished,Low Floor,Medium,581.0
flat,sector 69,1.75,8883.0,1970.0,4,4,1,North-West,Relatively New,1970.0,,,0,0,0,0,0,semifurnished,High Floor,Medium,492.5
flat,sector 92,0.6,4545.0,1320.0,2,2,3,,Under Construction,1320.0,,,0,0,0,0,1,semifurnished,High Floor,Low,660.0
flat,sector 56,1.38,7225.0,1910.0,3,3,3,North,Moderately Old,,1910.0,,1,0,0,0,0,furnished,Mid Floor,Medium,636.6666666666666
flat,sector 90,0.9,4615.0,1950.0,3,4,3,East,Relatively New,1950.0,,,0,1,0,0,0,semifurnished,Mid Floor,High,650.0
house,sector 26,4.45,35178.0,1265.0,4,4,3,West,Old Property,,150.0,,0,0,0,0,0,semifurnished,Mid Floor,Low,316.25
house,sector 31,3.25,22429.0,1449.0,4,4,3+,,Moderately Old,,1449.0,,1,1,1,1,0,furnished,Mid Floor,Low,362.25
flat,sector 79,0.36,7643.0,471.0,2,2,1,,New Property,,546.0,471.0,0,0,0,0,0,semifurnished,Mid Floor,Medium,235.5
flat,sector 54,7.0,23333.0,3000.0,4,6,3+,East,Moderately Old,3000.0,,,0,1,1,1,0,furnished,High Floor,Medium,750.0
flat,sector 83,1.4,9675.0,1447.0,3,3,3,North,Relatively New,1720.0,,1447.0,0,1,0,0,0,unfurnished,High Floor,Medium,482.3333333333333
flat,sector 50,2.35,11228.0,2093.0,3,3,3,North-East,Moderately Old,2093.0,2000.0,1850.0,0,0,1,0,0,furnished,Mid Floor,Medium,697.6666666666666
flat,sector 85,2.15,10925.0,1968.0,4,5,3+,South,Relatively New,2812.0,,1968.0,0,1,0,0,0,semifurnished,Mid Floor,High,492.0
flat,sector 108,2.95,14728.0,2003.0,3,4,2,East,Relatively New,2003.0,1600.0,1400.0,0,0,0,0,0,semifurnished,High Floor,Low,667.6666666666666
flat,sector 3,1.1,10407.0,1057.0,2,2,2,,Under Construction,1056.58,,,0,0,0,0,0,semifurnished,High Floor,Medium,528.5
flat,sector 78,1.25,5000.0,2500.0,4,4,3,East,Relatively New,2350.0,2300.0,2000.0,0,1,0,1,1,semifurnished,Low Floor,Medium,625.0
