property_type,sector,price,price_per_sqft,area,bedRoom,bathroom,balcony,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,floor_category,luxury_category,area_room_ratio
flat,sector 83,3.15,8400.0,3750.0,5,7,3+,West,Relatively New,3750.0,3200.0,2444.94,0,1,0,0,0,furnished,High Floor,High,750.0
flat,sector 103,0.23,6534.0,352.0,1,1,1,North-East,Relatively New,,,360.0,0,0,0,0,0,semifurnished,Mid Floor,Low,352.0
flat,sector 65,2.78,15200.0,1829.0,3,3,3,,Undefined,1828.0,,,0,0,0,0,0,semifurnished,High Floor,Medium,609.6666666666666
flat,sector 84,1.5,7641.0,1963.0,3,3,3,North-West,Relatively New,1963.0,,1700.0,0,1,0,0,0,furnished,High Floor,Low,654.3333333333334
flat,sector 81,0.49,6667.0,735.0,2,2,3,South,Relatively New,735.0,700.0,635.0,0,0,0,0,0,semifurnished,Mid Floor,Medium,367.5
house,sector 33,1.35,11157.0,1210.0,2,2,2,East,New Property,,1210.0,,1,0,0,0,0,unfurnished,Mid Floor,Medium,605.0
house,sector 14,6.4,20317.0,3150.0,6,6,3+,North,Old Property,,349.0,348.0,0,0,0,0,1,semifurnished,Mid Floor,Low,525.0
flat,sector 68,1.1,8987.0,1224.0,2,2,3,North-East,Relatively New,1224.0,1150.0,830.0,0,0,0,0,0,furnished,Low Floor,Medium,612.0
flat,sector 69,1.3,8447.0,1539.0,3,3,1,West,Relatively New,1538.0,,,0,0,0,1,0,furnished,High Floor,Medium,513.0
flat,sector 113,2.9,12620.0,2298.0,4,4,3+,North,Under Construction,,,2298.0,1,1,0,0,0,semifurnished,High Floor,Low,574.5
flat,sector 48,1.5,8787.0,1707.0,3,3,3,North,Old Property,1707.0,1600.0,1400.0,0,0,0,0,0,furnished,Low Floor,Medium,569.0
house,sector 43,2.55,13178.0,1935.0,3,3,2,,Relatively New,,215.0,,0,0,0,0,0,furnished,Mid Floor,Medium,645.0
flat,sector 63,8.5,21519.0,3950.0,4,4,0,,Undefined,,3950.0,,0,0,0,0,0,semifurnished,High Floor,Medium,987.5
flat,sector 108,0.65,4762.0,1365.0,2,2,2,East,Relatively New,1365.0,,,0,0,0,1,0,furnished,Mid Floor,High,682.5
flat,sector 84,2.28,8769.0,2600.0,4,4,3+,South-East,Relatively New,3434.0,,2600.0,0,1,0,0,0,semifurnished,Mid Floor,Medium,650.0
